raceyear,drivername,win,cumwin,racedate
1986,berger,1,1,1986-01-01
1986,mansell,5,7,1986-01-01
1986,piquet,4,17,1986-01-01
1986,prost,4,25,1986-01-01
1986,senna,2,4,1986-01-01
1986,alboreto,0,5,1986-01-01
1986,alesi,0,0,1986-01-01
1986,alonso,0,0,1986-01-01
1986,angelis,0,2,1986-01-01
1986,arnoux,0,7,1986-01-01
1986,ascari,0,13,1986-01-01
1986,baghetti,0,1,1986-01-01
1986,bandini,0,1,1986-01-01
1986,barrichello,0,0,1986-01-01
1986,beltoise,0,1,1986-01-01
1986,bonnier,0,1,1986-01-01
1986,bottas,0,0,1986-01-01
1986,boutsen,0,0,1986-01-01
1986,brambilla,0,1,1986-01-01
1986,brooks,0,6,1986-01-01
1986,bryan,0,1,1986-01-01
1986,button,0,0,1986-01-01
1986,cevert,0,1,1986-01-01
1986,clark,0,25,1986-01-01
1986,collins,0,3,1986-01-01
1986,coulthard,0,0,1986-01-01
1986,damon_hill,0,0,1986-01-01
1986,depailler,0,2,1986-01-01
1986,emerson_fittipaldi,0,14,1986-01-01
1986,fagioli,0,1,1986-01-01
1986,fangio,0,24,1986-01-01
1986,farina,0,5,1986-01-01
1986,fisichella,0,0,1986-01-01
1986,flaherty,0,1,1986-01-01
1986,frentzen,0,0,1986-01-01
1986,gethin,0,1,1986-01-01
1986,gilles_villeneuve,0,6,1986-01-01
1986,ginther,0,1,1986-01-01
1986,gonzalez,0,2,1986-01-01
1986,gurney,0,4,1986-01-01
1986,hakkinen,0,0,1986-01-01
1986,hamilton,0,0,1986-01-01
1986,hanks,0,1,1986-01-01
1986,hawthorn,0,3,1986-01-01
1986,herbert,0,0,1986-01-01
1986,hill,0,14,1986-01-01
1986,hulme,0,8,1986-01-01
1986,hunt,0,10,1986-01-01
1986,ickx,0,8,1986-01-01
1986,ireland,0,1,1986-01-01
1986,irvine,0,0,1986-01-01
1986,jabouille,0,2,1986-01-01
1986,jack_brabham,0,14,1986-01-01
1986,jones,0,12,1986-01-01
1986,keke_rosberg,0,5,1986-01-01
1986,kovalainen,0,0,1986-01-01
1986,kubica,0,0,1986-01-01
1986,laffite,0,6,1986-01-01
1986,lauda,0,25,1986-01-01
1986,leclerc,0,0,1986-01-01
1986,maldonado,0,0,1986-01-01
1986,mario_andretti,0,12,1986-01-01
1986,mass,0,1,1986-01-01
1986,massa,0,0,1986-01-01
1986,max_verstappen,0,0,1986-01-01
1986,mclaren,0,4,1986-01-01
1986,michael_schumacher,0,0,1986-01-01
1986,montoya,0,0,1986-01-01
1986,moss,0,16,1986-01-01
1986,musso,0,1,1986-01-01
1986,nannini,0,0,1986-01-01
1986,nilsson,0,1,1986-01-01
1986,pace,0,1,1986-01-01
1986,panis,0,0,1986-01-01
1986,parsons,0,1,1986-01-01
1986,patrese,0,2,1986-01-01
1986,peterson,0,10,1986-01-01
1986,phil_hill,0,3,1986-01-01
1986,pironi,0,3,1986-01-01
1986,raikkonen,0,0,1986-01-01
1986,ralf_schumacher,0,0,1986-01-01
1986,rathmann,0,1,1986-01-01
1986,regazzoni,0,5,1986-01-01
1986,reutemann,0,12,1986-01-01
1986,revson,0,2,1986-01-01
1986,ricciardo,0,0,1986-01-01
1986,rindt,0,6,1986-01-01
1986,rodriguez,0,2,1986-01-01
1986,rosberg,0,0,1986-01-01
1986,ruttman,0,1,1986-01-01
1986,scarfiotti,0,1,1986-01-01
1986,scheckter,0,10,1986-01-01
1986,siffert,0,2,1986-01-01
1986,stewart,0,27,1986-01-01
1986,surtees,0,6,1986-01-01
1986,sweikert,0,1,1986-01-01
1986,tambay,0,2,1986-01-01
1986,taruffi,0,1,1986-01-01
1986,trintignant,0,2,1986-01-01
1986,trips,0,2,1986-01-01
1986,trulli,0,0,1986-01-01
1986,vettel,0,0,1986-01-01
1986,villeneuve,0,0,1986-01-01
1986,vukovich,0,2,1986-01-01
1986,wallard,0,1,1986-01-01
1986,ward,0,1,1986-01-01
1986,watson,0,5,1986-01-01
1986,webber,0,0,1986-01-01
1987,berger,2,3,1987-01-01
1987,mansell,6,13,1987-01-01
1987,piquet,3,20,1987-01-01
1987,prost,3,28,1987-01-01
1987,senna,2,6,1987-01-01
1987,alboreto,0,5,1987-01-01
1987,alesi,0,0,1987-01-01
1987,alonso,0,0,1987-01-01
1987,angelis,0,2,1987-01-01
1987,arnoux,0,7,1987-01-01
1987,ascari,0,13,1987-01-01
1987,baghetti,0,1,1987-01-01
1987,bandini,0,1,1987-01-01
1987,barrichello,0,0,1987-01-01
1987,beltoise,0,1,1987-01-01
1987,bonnier,0,1,1987-01-01
1987,bottas,0,0,1987-01-01
1987,boutsen,0,0,1987-01-01
1987,brambilla,0,1,1987-01-01
1987,brooks,0,6,1987-01-01
1987,bryan,0,1,1987-01-01
1987,button,0,0,1987-01-01
1987,cevert,0,1,1987-01-01
1987,clark,0,25,1987-01-01
1987,collins,0,3,1987-01-01
1987,coulthard,0,0,1987-01-01
1987,damon_hill,0,0,1987-01-01
1987,depailler,0,2,1987-01-01
1987,emerson_fittipaldi,0,14,1987-01-01
1987,fagioli,0,1,1987-01-01
1987,fangio,0,24,1987-01-01
1987,farina,0,5,1987-01-01
1987,fisichella,0,0,1987-01-01
1987,flaherty,0,1,1987-01-01
1987,frentzen,0,0,1987-01-01
1987,gethin,0,1,1987-01-01
1987,gilles_villeneuve,0,6,1987-01-01
1987,ginther,0,1,1987-01-01
1987,gonzalez,0,2,1987-01-01
1987,gurney,0,4,1987-01-01
1987,hakkinen,0,0,1987-01-01
1987,hamilton,0,0,1987-01-01
1987,hanks,0,1,1987-01-01
1987,hawthorn,0,3,1987-01-01
1987,herbert,0,0,1987-01-01
1987,hill,0,14,1987-01-01
1987,hulme,0,8,1987-01-01
1987,hunt,0,10,1987-01-01
1987,ickx,0,8,1987-01-01
1987,ireland,0,1,1987-01-01
1987,irvine,0,0,1987-01-01
1987,jabouille,0,2,1987-01-01
1987,jack_brabham,0,14,1987-01-01
1987,jones,0,12,1987-01-01
1987,keke_rosberg,0,5,1987-01-01
1987,kovalainen,0,0,1987-01-01
1987,kubica,0,0,1987-01-01
1987,laffite,0,6,1987-01-01
